name	Gr	W	L	Tot	W_pct	selection	finals_app	g_W	g_L	Tot_Gms	g_W_pct
蘇昱綸 - 合作金庫	男	6	0	6	1.000	第一次賽入選	1	18	4	22	0.818
洪敬愷 - 第一銀行	男	6	0	6	1.000	第一次賽入選	1	18	7	25	0.720
黎彥君 - 第一銀行	男	9	1	10	0.900	第二次賽入選	1	28	10	38	0.737
張佑安 - 第一銀行	男	6	1	7	0.857	第二次賽入選	1	20	8	28	0.714
馮翊新 - 合作金庫	男	17	3	20	0.850	第四次賽入選	3	54	18	72	0.750
林彥均 - 第一銀行	男	11	2	13	0.846	第三次賽入選	1	37	13	50	0.740
黃彥誠 - 合作金庫	男	9	2	11	0.818	第三次賽入選	1	30	14	44	0.682
孫嘉宏 - 合作金庫	男	10	3	13	0.769	-	1	31	20	51	0.608
葉致緯 - 第一銀行	男	12	4	16	0.750	-	0	40	14	54	0.741
陳建安 - 合作金庫	男	9	3	12	0.750	-	0	31	11	42	0.738
黎昕陽 - 第一銀行	男	9	3	12	0.750	第四次賽入選	1	32	12	44	0.727
陳凱程 - 合作金庫	男	12	4	16	0.750	-	1	39	26	65	0.600
廖振珽 - 第一銀行	男	11	4	15	0.733	-	1	38	16	54	0.704
曾子彧 - 合作金庫	男	11	4	15	0.733	-	0	38	17	55	0.691
黎昕祐 - 第一銀行	男	11	4	15	0.733	-	0	38	22	60	0.633
彭王維 - 乒乓彭	男	10	4	14	0.714	-	1	34	19	53	0.642
徐絃家 - 合作金庫	男	10	4	14	0.714	-	1	34	21	55	0.618
楊子儀 - 合作金庫	男	9	4	13	0.692	-	0	31	19	50	0.620
楊嘉安 - 第一銀行	男	9	4	13	0.692	-	0	31	24	55	0.564
楊恆韋 - 第一銀行	男	8	4	12	0.667	-	0	27	15	42	0.643
張秉丞 - 第一銀行	男	8	4	12	0.667	-	1	28	19	47	0.596
施佳宏 - 第一銀行	男	8	4	12	0.667	-	0	27	19	46	0.587
李佳陞 - 第一銀行	男	8	4	12	0.667	-	0	28	21	49	0.571
楊皓任 - 第一銀行	男	9	5	14	0.643	-	0	33	20	53	0.623
林鄭文哲 - 合作金庫	男	7	4	11	0.636	-	0	23	15	38	0.605
梁振威 - 合作金庫	男	7	4	11	0.636	-	0	23	16	39	0.590
何恩 - 松山家商	男	7	4	11	0.636	-	0	24	17	41	0.585
蘇晨翔 - 合作金庫	男	7	4	11	0.636	-	0	24	18	42	0.571
曾暐勛 - 臺南桌委	男	7	4	11	0.636	-	0	21	16	37	0.568
楊振岳 - 合作金庫	男	7	4	11	0.636	-	0	23	21	44	0.523
蔡榜原 - 合作金庫	男	7	4	11	0.636	-	0	23	22	45	0.511
蔡淳佑 - 臺南桌委	男	5	3	8	0.625	-	0	18	14	32	0.562
譚吉倉 - 臺南桌委	男	5	3	8	0.625	-	0	16	15	31	0.516
王泰崴 - 合作金庫	男	8	5	13	0.615	-	0	29	21	50	0.580
蔡天羽 - 合作金庫	男	8	5	13	0.615	-	0	27	21	48	0.562
黃培祐 - 合作金庫	男	8	5	13	0.615	-	0	28	25	53	0.528
吳元佑 - 合作金庫	男	6	4	10	0.600	-	0	23	13	36	0.639
彭靖宥 - 合作金庫	男	6	4	10	0.600	-	0	23	18	41	0.561
王冠程 - 八馬國際	男	6	4	10	0.600	-	0	24	19	43	0.558
王晨又 - 第一銀行	男	6	4	10	0.600	-	0	20	17	37	0.541
郭家宏 - 臺灣師大	男	6	4	10	0.600	-	0	21	20	41	0.512
戴博鈞 - 合作金庫	男	7	5	12	0.583	-	0	25	23	48	0.521
洪哲硯 - 合作金庫	男	5	4	9	0.556	-	0	21	15	36	0.583
黃浩瑋 - 臺灣體大	男	5	4	9	0.556	-	0	18	15	33	0.545
蔡賾安 - 第一銀行	男	5	4	9	0.556	-	0	18	15	33	0.545
鄭旻修 - 合作金庫	男	5	4	9	0.556	-	0	21	18	39	0.538
梅日燁 - 臺灣師大	男	5	4	9	0.556	-	0	17	17	34	0.500
黃弘州 - 屏東科大	男	5	4	9	0.556	-	0	17	20	37	0.459
葉伊恩 - 智淵乒乓	男	6	5	11	0.545	-	0	24	17	41	0.585
程弘宇 - 松山家商	男	6	5	11	0.545	-	0	24	19	43	0.558
莊家權 - 合作金庫	男	4	4	8	0.500	-	0	19	14	33	0.576
李承恩 - 臺灣體大	男	5	5	10	0.500	-	0	19	18	37	0.514
林晉霆 - 第一銀行	男	4	4	8	0.500	-	0	18	17	35	0.514
莊忠諺 - 合作金庫	男	4	4	8	0.500	-	0	15	15	30	0.500
楊致興 - 北市大	男	4	4	8	0.500	-	0	13	13	26	0.500
梁庭瑋 - 國立體大	男	4	4	8	0.500	-	0	14	15	29	0.483
蕭子睿 - 合作金庫	男	5	5	10	0.500	-	0	21	24	45	0.467
闕壯庭 - 北市大	男	5	5	10	0.500	-	0	17	20	37	0.459
彭 旨 - 北市大	男	4	4	8	0.500	-	0	12	16	28	0.429
陳奕騰 - 第一銀行	男	4	5	9	0.444	-	0	20	17	37	0.541
趙柏宥 - 合作金庫	男	4	5	9	0.444	-	0	18	17	35	0.514
彭靖恩 - 臺南桌委	男	4	5	9	0.444	-	0	16	19	35	0.457
賴竑亦 - 八馬國際	男	4	5	9	0.444	-	0	16	19	35	0.457
陳宜樂 - 第一銀行	男	4	5	9	0.444	-	0	16	19	35	0.457
張先騅 - 福誠高中	男	3	4	7	0.429	-	0	14	14	28	0.500
林一帆 - 智淵乒乓	男	3	4	7	0.429	-	0	12	13	25	0.480
高偉誌 - 智淵乒乓	男	3	4	7	0.429	-	0	11	12	23	0.478
